,,,,,,,,,,,,Col,,,Complex Supreme Mt.,Subcomplex,System,Subsystem,Range,Dominance Parent
48,57,"38°09'32""","15°55'16""",MONTALTO,1955,1709,87.42,SMA2,3,L,I,,"38°54'47""","16°28'29""",MONT BLANC,MONTALTO,,,,MONT BLANC
49,58,"46°21'25""","14°32'10""",GRINTOVEC,2558,1706,66.69,SMB1,3,H,SLO,Ratece (852),"46°29'43""","13°42'18""",MONT BLANC,TRIGLAV,GRINTOVEC,,,TRIGLAV
50,59,"47°43'01""","14°03'48""",GROSSER PRIEL,2515,1703,67.71,SMB1,3,H,A,near Knoppen (812),"47°33'57""","13°52'55""",MONT BLANC,HOHER DACHSTEIN,GROSSER PRIEL,,,HOHER DACHSTEIN
51,60,"38°38'51""","22°15'16""",GIONA,2510,1702,67.81,SMB1,3,H,GR,,"39°20'30""","21°41'37""",MONT BLANC,GOLEM KORAB,GIONA,,,GOLEM KORAB
52,61,"40°14'51""","-5°17'46""",PLAZA DEL MORO ALMANZOR,2592,1690,65.20,SMB1,4,L,E,Pradillo Verde (902),"42°31'06""","-3°39'23""",MULHACÉN,TORRE DE CERREDO,ALMANZOR,,,TORRE DE CERREDO 
53,62,"45°57'12""","09°23'15""",GRIGNA SETTENTRIONALE,2410,1687,70.00,SMA2,3,H,I,Colle di Bialiso (723),"45°55'18""","09°26'21""",MONT BLANC,GRIGNA,,,,MONT BLANC
54,63,"45°59'17""","11°01'53""",MONTE BONDONE (CORNETTO),2180,1685,77.29,SMA2,3,L,I,East of Vezzano (ca. 495),"46°04'44""","11°01'45""",MONT BLANC,MONTE BONDONE,,,,MONT BLANC
55,64,"46°13'12""","10°39'50""",PRESANELLA,3558,1676,47.11,SMB2,5,H,I,Tonale (1882) ? 1884,"46°15'33""","10°35'04""",MONT BLANC,,PIZ BERNINA,PRESANELLA,,PIZ BERNINA
56,65,"62°19'14""","09°16'18""",SNØHETTA,2286,1675,73.27,SMA2,3,H,N,Lake Lesjaskogsvatnet (611),"62°13'24""","08°24'46""",GALDHØPIGGEN,SNØHETTA,,,,GALDHØPIGGEN
57,66,"40°17'13""","19°51'06""",MAJA E KENDREVICËS,2122,1667,78.56,SMA2,3,L,AL,,"39°47'55""","20°29'50""",MONT BLANC,KENDREVICËS,,,,MONT BLANC
58,67,"47°28'29""","12°44'02""",BIRNHORN,2634,1665,63.21,SMB1,4,L,A,near Hochfilzen (969) ???? 959,"47°27'50""","12°38'03""",MONT BLANC,,BIRNHORN,,,GROSSGLOCKNER
59,68,"41°42'15""","21°24'19""",SOLUNSKA GLAVA,2538,1664,65.56,SMB1,3,H,MA,near Barbara (874) ???? 864,"41°30'12""","21°17'22""",MONT BLANC,GOLEM KORAB,SOLUNSKA GLAVA,,,GOLEM KORAB
60,69,"46°13'39""","12°24'10""",COL NUDO,2472,1645,66.55,SMB1,3,H,I,San Osvaldo (827),"46°17'12""","12°24'40""",MONT BLANC,,COL NUDO,,,MONT BLANC
61,70,"45°57'20""","06°33'22""",POINTE PERCÉE,2753,1643,59.68,SMB1,4,L,F,near Megève (1110) ??,"45°52'17""","06°37'46""",MONT BLANC,,POINTE PERCÉE,,,MONT BLANC
,71,"38°08'14""","20°40'22""",AINOS,1628,1628,100.00,IHP,2,H,GR,,,,AINOS,,,,,
,72,"40°27'42""","25°35'15""",FENGARI,1611,1611,100.00,IHP,2,H,GR,1600 / 1624 ??,,,FENGARI,,,,,
62,73,"46°26'09""","13°26'01""",JOF DI MONTASIO / MONTASCH,2752,1596,57.99,SMB1,4,L,I,Predel (1156),"46°25'06""","13°34'41""",MONT BLANC,TRIGLAV,JOF DI MONTASIO,,,TRIGLAV
63,74,"41°19'18""","23°07'19""",KERKINI / RADOMIR,2031,1595,78.53,SMA2,3,L,GR/BUL,near Kosturino (436),"41°21'03""","22°36'41""",MONT BLANC,KERKINI,,,,MUSALA
64,75,"38°32'09""","22°37'27""",LIAKURA,2457,1590,64.71,SMB1,3,H,GR,near Amvlema (867),"38°37'45""","22°22'36""",MONT BLANC,SMOLIKAS,LIAKURA,,,SMOLIKAS
65,76,"46°53'42""","13°09'29""",POLINIK,2784,1580,56.75,SMB1,4,L,A,Iselsberg (1204),"46°51'12""","12°51'30""",MONT BLANC,,POLINIK,,,GROSSGLOCKNER
66,77,"45°31'42""","02°48'51""",PUY DE SANCY,1885,1578,83.71,SMA2,2,H,F,near Montchanin (307),"46°44'57""","04°29'56""",MONT BLANC,PUY DE SANCY,,,,MONT BLANC
67,78,"44°11'38""","10°42'05""",MONTE CIMONE,2165,1577,72.84,SMA2,3,L,I,,"43°23'50""","12°40'06""",MONT BLANC,MONTE CIMONE,,,,CORNO GRANDE
68,79,"69°42'37""","20°05'26""",STORE LENANGSTIND,1624,1576,97.04,PHP,2,L,N,Lyngseidet (48),"69°34'36""","20°11'18""",STORE LENANGSTIND,,,,,GALDHØPIGGEN
69,80,"42°43'03""","24°55'00""",BOTEV,2380,1571,66.01,SMB1,3,H,BUL,? 2376,"42°38'15""","23°52'06""",MONT BLANC,MUSALA,BOTEV,,,MUSALA
70,81,"46°48'40""","08°54'53""",TÖDI,3614,1570,43.44,SMB2,5,H,CH,Oberalp (2044),"46°39'31""","08°40'21""",MONT BLANC,,FINSTERAARHORN,TÖDI,,FINSTERAARHORN
71,82,"47°24'40""","11°26'16""",BIRKKARSPITZE,2749,1567,57.00,SMB1,4,L,A,Seefeld in Tirol (1182) ? 1180,"47°19'07""","11°11'53""",MONT BLANC,,BIRKKARSPITZE,,,ZUGSPITZE
72,83,"40°11'54""","19°38'31""",MALI I CIKËS,2044,1563,76.47,SMA2,3,L,AL,Shkapa (481),"40°09'18""","19°48'21""",MONT BLANC,CIKËS,,,,GOLEM KORAB
73,84,"47°33'44""","12°18'11""",ELLMAUER HALT,2344,1552,66.21,SMB1,3,H,A,near Ellmau (792),"47°30'56""","12°19'14""",MONT BLANC,,ELLMAUER HALT,,,MONT BLANC
74,85,"44°46'34""","05°50'27""",GRAND TÊTE DE L'OBIOU,2790,1542,55.27,SMB1,4,L,F,Col Bayard (1248),"44°37'04""","06°04'59""",MONT BLANC,,L'OBIOU,,,MONT BLANC
75,86,"44°36'47""","34°14'36""",ROMAN-KOSH,1545,1541,99.74,PHP,2,L,UKR,near Krasnoperekopsk (4) ? 7,"45°56'03""","c.33°49'07"" ",ROMAN-KOSH,,,,,EVEREST
76,87,"40°47'39""","20°27'55""",MAJA E VALAMARES,2373,1526,64.31,SMB1,3,H,AL,,"40°49'30""","20°44'38""",MONT BLANC,GOLEM KORAB,VALAMARES,,,GOLEM KORAB
